1|人物名を回答してください|He is an American actor and producer. He started his career at age nineteen, in the film Endless Love.|He received widespread attention for starring in the action drama, Top Gun, as Lieutenant Pete "Maverick" Mitchell.|In 1996, he appeared as superspy Ethan Hunt in the reboot of Mission: Impossible, which he produced.|トムクルーズ
2|人物名を回答してください|He is an an American actor and film producer. He debuted in his film career by starring as Josh in Critters 3 in 1991.|He gained public recognition with leading roles in The Basketball Diaries in 1995, and the romantic drama Romeo and Juliet in 1996.|He achieved international fame as a star in James Cameron's epic romance Titanic in 1997.|レオナルドディカプリオ
3|人物名を回答してください|He is an American actor, producer, and musician. He has been nominated for three Academy Awards and has won the Golden Globe and Screen Actors Guild Awards for Best Actor.|He has challenged himself by playing larger-than-life roles, including the title character in the 1990 romantic dark fantasy Edward Scissorhands.|He starred in the Walt Disney Pictures adventure film, Pirates of the Caribbean in 2003|ジョニーデップ
4|人物名を回答してください|He is an American actor, director, producer, screenwriter, and businessman. He has received three Golden Globe Awards for his work as an actor and two Academy Awards.|He made his acting debut on television in 1978, and later gained wide recognition in his role as Dr. Doug Ross on the long-running medical drama ER from 1994 to 1999.|In 2001, his fame widened with the release of his biggest commercial success, the heist comedy remake Ocean's Eleven, the first of what became a trilogy.|ジョージクルーニー
5|人物名を回答してください|He is a Hong Kong martial artist, actor, film director, producer, stuntman, and singer. He is known for his acrobatic fighting style, comic timing, use of improvised weapons, and innovative stunts.|His first major breakthrough was the 1978 film, Snake in the Eagle's Shadow, shot while he was loaned to Seasonal Film Corporation under a two-picture deal.|In 2010 he starred with Jaden Smith in The Karate Kid, a remake of the 1984 original. This was his first dramatic American film.|ジャッキーチェン
6|人物名を回答してください|He is an English actor. He trained at the National Youth Theatre and graduated from the Guildhall School of Music and Drama in 1991.|His film debut was in the drama The Power of One in 1992. Other early appearances were in the historical television war drama Sharpe's Eagle in 1993, Disney family film A Kid in King Arthur's Court in 1995.|He achieved international fame when chosen as the sixth actor to play the role of Ian Fleming's British secret agent character James Bond in the film series.|ダニエルクレイグ
7|人物名を回答してください|He is an American actor, director, writer and film producer. Five of his movies are within the 30 top grossing movies of all time at the US box office.|His career spans six decades and includes roles in several Hollywood blockbusters including the epic war film Apocalypse Now in 1979 and the political action thriller Air Force One in 1997.|He gained worldwide fame for his starring roles as Han Solo in the Star Wars film series and as the title character of the Indiana Jones film series.|ハリソンフォード
8|人物名を回答してください|He is an American actor and film producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment.|He first gained recognition as a cowboy hitchhiker in the road movie Thelma & Louise in 1991. His first leading roles in big-budget productions came with the drama films A River Runs Through It in 1992.|He divorced from actress Jennifer Aniston after five years of marriage, he married actress Angelina Jolie in 2014.|ブラッドピット
9|人物名を回答してください|She is an English actress, model, and activist. She borns in Paris and brought up in Oxfordshire.|From 2011 to 2014, she splits her time between working on film projects and continuing her education, studying at Brown University and Worcester College.|As a child artist, she rose to prominence after landing her first professional acting role as Hermione Granger in the Harry Potter film series, having acted only in school plays previously.|エマワトソン
10|人物名を回答してください|She is an American actress and singer. One of the world's highest-paid actresses in 2015, she has received multiple awards, including an Academy Award, a Golden Globe, a British Academy Film Award, and an Emmy.|As a teenager, she was cast in the television series, Get Real, from 1999 to 2000 and made her breakthrough as the protagonist in her debut film, the Disney comedy The Princess Diaries in 2001.|The comedy film The Devil Wears Prada in 2006, in which she played an assistant to a fashion magazine editor, was her biggest commercial success to that point.|アンハサウェイ
11|人物名を回答してください|She is an American actress. She made her film debut in Woody Allen's short film Oedipus Wrecks for the anthology film New York Stories in 1989.|At the age of twelve, she gained widespread recognition as Claudia in Interview with the Vampire in 1994, a role for which she was nominated for a Golden Globe Award for Best Supporting Actress.|She achieved fame for her portrayal of Mary Jane Watson in Spider-Man trilogy from 2002 to 2007|キルスティンダンスト
12|人物名を回答してください|She is an American actress. Cited in the media as the "best actress of her generation", who is particularly known for her versatility and accent adaptation.|She made her stage debut in Trelawny of the Wells in 1975. In 1976, she received a Tony Award nomination for Best Featured Actress in a Play for 27 Wagons Full of Cotton.|She went on to win Best Supporting Actress for Kramer vs. Kramer in 1979, and Best Actress for Sophie's Choice in 1982, and The Iron Lady in 2011.|メリルストリープ
13|都道府県を回答してください|Until the Meiji Restoration, the area of prefecture was known as Kawachi, Izumi, and Settsu provinces.|The prefecture is located in the Kansai region.|It is one of the two "urban prefectures" of Japan, Kyoto being the other.|大阪府
14|都道府県を回答してください|Originally, the region was divided into the two provinces, Owari and Mikawa. After the Meiji Restoration, Owari and Mikawa were united into a single entity.|The prefecture is located in the Chubu region.|The Expo 2005 World Exposition was held in Seto and Nagakute.|愛知県
15|都道府県を回答してください|It was originally a small fishing village named Edo, in what was formerly part of the old Musashi Province.|In 2014, it was ranked first in the "Best overall experience" category of TripAdvisor's World City Survey.|It has 39 million residents, 50% more people than any other urban area, with a $2.5 trillion economy larger than that of any other city.|東京都
16|都道府県を回答してください|In 1947, it became a full-fledged prefecture, but the -ken suffix was never added to its name.|Although there is some light industry, most notably paper milling and beer brewing, most of the population is employed by the service sector.|It was formerly known as Ezo, Yezo, Yeso, or Yesso, is the second largest island of Japan.|北海道
17|都道府県を回答してください|Until the Meiji Restoration, the area of the prefecture was known as Yamashiro.|The city's history can be traced back as far as the 6th century. In 544, the Aoi Matsuri was held to pray for good harvest and good weather.|For most of its history, the capital city of the prefecture was Japan's Imperial capital.|京都府
18|都道府県を回答してください|During the Meiji Restoration, the area became major ports for foreign trade, and eventually major military bases and shipbuilding centers for the Imperial Japanese Navy.|As of 1 April 2014, 18% of the total land area of the prefecture was designated as Natural Parks.|During the 16th century, Catholic missionaries and traders from Portugal arrived and became active where became a major center for foreign trade.|長崎県
19|都道府県を回答してください|The area around the prefecture was formerly divided into Bingo Province and Aki Province.|This location has been a center of trade and culture since the beginning of Japan's recorded history.|Its main industries include automobiles and tourism in two World Heritages, A-Bomb dome and Itsukushima Shrine.|広島県
20|都道府県を回答してください|The prefecture was also known as Yamato-no-kuni or Yamato Province.|It is a prefecture in the Kansai region of Japan. The prefecture has the distinction of having more UNESCO World Heritage Listings than any other prefecture.|The prefecture region is considered one of the oldest regions in Japan, having been in existence for thousands of years.|奈良県
